epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,130.305,0.83782,0.46742,0.91851,0.98987,0.97985,0.99097,0.79657,0.861,0.42157,0.91854,0.001307,0.001307,0.001307
72,131.98,0.80461,0.43935,0.90837,0.98502,0.9885,0.98993,0.80572,0.83273,0.42845,0.922,0.0012971,0.0012971,0.0012971
73,133.664,0.84478,0.4574,0.93116,0.9798,0.98997,0.99042,0.8022,0.84668,0.43532,0.93485,0.0012872,0.0012872,0.0012872
74,135.363,0.82107,0.44274,0.92137,0.98079,0.98747,0.99177,0.80559,0.82429,0.4307,0.91452,0.0012773,0.0012773,0.0012773
75,137.076,0.83405,0.45453,0.9111,0.98492,0.98185,0.99098,0.80784,0.81976,0.41773,0.91048,0.0012674,0.0012674,0.0012674
76,138.728,0.88062,0.46459,0.91493,0.9826,0.98246,0.99051,0.80183,0.84914,0.41619,0.92997,0.0012575,0.0012575,0.0012575
77,140.587,0.81175,0.43713,0.92176,0.98492,0.98247,0.99077,0.8129,0.80889,0.42091,0.90617,0.0012476,0.0012476,0.0012476
78,142.272,0.80237,0.44498,0.90852,0.9845,0.98496,0.99161,0.80901,0.82311,0.41757,0.90603,0.0012377,0.0012377,0.0012377
79,143.939,0.78698,0.42236,0.90732,0.97887,0.98496,0.98894,0.81569,0.79808,0.41058,0.91105,0.0012278,0.0012278,0.0012278
80,145.588,0.81667,0.43552,0.91239,0.97609,0.98747,0.9901,0.81397,0.81089,0.41463,0.91676,0.0012179,0.0012179,0.0012179
81,147.356,0.81243,0.43621,0.89318,0.98494,0.98366,0.99006,0.81574,0.79862,0.40724,0.90019,0.001208,0.001208,0.001208
82,149.021,0.80534,0.42062,0.90791,0.98765,0.98496,0.99127,0.81131,0.80422,0.41004,0.90368,0.0011981,0.0011981,0.0011981
83,150.813,0.81835,0.42352,0.93791,0.98992,0.98493,0.9923,0.80711,0.80548,0.40784,0.91278,0.0011882,0.0011882,0.0011882
84,152.517,0.81684,0.44203,0.91354,0.99242,0.98455,0.9923,0.80712,0.79992,0.40264,0.90544,0.0011783,0.0011783,0.0011783
85,154.207,0.79819,0.43105,0.90503,0.9842,0.98997,0.99104,0.81182,0.80446,0.39029,0.90868,0.0011684,0.0011684,0.0011684
86,155.954,0.78131,0.4107,0.90694,0.98483,0.98747,0.99104,0.81557,0.81044,0.39003,0.91038,0.0011585,0.0011585,0.0011585
87,157.687,0.77531,0.42129,0.91236,0.9808,0.98997,0.99113,0.81893,0.80331,0.39083,0.90363,0.0011486,0.0011486,0.0011486
88,159.39,0.81616,0.42863,0.90445,0.98272,0.98747,0.99105,0.81499,0.80473,0.39299,0.90799,0.0011387,0.0011387,0.0011387
89,161.138,0.79512,0.419,0.92352,0.97975,0.98997,0.99111,0.80774,0.80217,0.39343,0.91241,0.0011288,0.0011288,0.0011288
90,162.836,0.79715,0.42114,0.89916,0.97774,0.99098,0.99166,0.81371,0.78957,0.38676,0.90428,0.0011189,0.0011189,0.0011189
91,164.591,0.78095,0.41518,0.90687,0.98072,0.98747,0.99075,0.81141,0.79399,0.38379,0.90633,0.001109,0.001109,0.001109
92,166.307,0.78424,0.41325,0.90164,0.98256,0.98831,0.99073,0.80691,0.80734,0.38967,0.90286,0.0010991,0.0010991,0.0010991
93,168.034,0.81801,0.43189,0.90472,0.98746,0.98705,0.98864,0.81181,0.79053,0.38752,0.89875,0.0010892,0.0010892,0.0010892
94,169.691,0.79478,0.42501,0.88507,0.98633,0.98747,0.98925,0.81424,0.7867,0.38981,0.89451,0.0010793,0.0010793,0.0010793
95,171.384,0.75649,0.40064,0.89566,0.98486,0.98496,0.99115,0.80802,0.80861,0.3909,0.8995,0.0010694,0.0010694,0.0010694
96,173.251,0.81013,0.4204,0.91351,0.97994,0.99248,0.99123,0.81372,0.81264,0.39009,0.90082,0.0010595,0.0010595,0.0010595
97,174.933,0.78863,0.41631,0.89625,0.98495,0.9843,0.99138,0.81371,0.81565,0.39635,0.90236,0.0010496,0.0010496,0.0010496
98,176.641,0.78521,0.421,0.89835,0.98255,0.98801,0.99177,0.8109,0.80938,0.39307,0.89963,0.0010397,0.0010397,0.0010397
99,178.355,0.80034,0.42484,0.91087,0.985,0.98729,0.99099,0.81863,0.79488,0.38928,0.89751,0.0010298,0.0010298,0.0010298
100,180.007,0.79103,0.4166,0.90698,0.98492,0.98231,0.99088,0.81457,0.79342,0.39067,0.89938,0.0010199,0.0010199,0.0010199
101,181.775,0.77436,0.40945,0.90935,0.9783,0.98997,0.99134,0.81524,0.79628,0.40253,0.90416,0.00101,0.00101,0.00101
102,183.449,0.78533,0.41999,0.8924,0.985,0.98735,0.99173,0.80959,0.80074,0.39773,0.90469,0.0010001,0.0010001,0.0010001
103,185.127,0.76396,0.40571,0.90635,0.98496,0.98502,0.99,0.81105,0.79535,0.38686,0.89915,0.0009902,0.0009902,0.0009902
104,186.813,0.79652,0.41825,0.90396,0.98256,0.98856,0.9903,0.80685,0.80623,0.39175,0.89731,0.0009803,0.0009803,0.0009803
105,188.633,0.79855,0.40674,0.91997,0.98506,0.9915,0.99094,0.81719,0.80008,0.38169,0.9045,0.0009704,0.0009704,0.0009704
106,190.472,0.81343,0.42005,0.89981,0.98652,0.99248,0.9908,0.81008,0.8261,0.3855,0.91683,0.0009605,0.0009605,0.0009605
107,192.365,0.78272,0.40759,0.89788,0.98751,0.99048,0.99052,0.81126,0.79189,0.37294,0.89878,0.0009506,0.0009506,0.0009506
